"filename", "language", "XML", "Dart", "YAML", "Markdown", "JSON", "HTML", "Groovy", "Properties", "Java", "C++", "Shell Script", "Swift", "comment", "blank", "total"
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-az/values-az.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-b+sr+Latn/values-b+sr+Latn.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-be/values-be.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-bg/values-bg.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-bn/values-bn.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-bs/values-bs.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ca/values-ca.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-cs/values-cs.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-da/values-da.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-de/values-de.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
